service_id,date,exception_type
56,20120208,2
56,20120209,2
56,20120210,2
56,20120211,2
56,20120212,2
56,20120213,2
56,20120214,2
56,20120215,2
56,20120216,2
56,20120217,2
56,20120218,2
56,20120219,2
56,20120220,1
56,20120221,1
56,20120222,1
56,20120223,1
56,20120224,2
56,20120225,2
56,20120226,2
56,20120227,2
56,20120228,2
56,20120229,2
56,20120301,2
56,20120302,2
56,20120303,2
56,20120304,2
56,20120305,2
56,20120306,2
56,20120307,2
56,20120308,2
56,20120309,2
56,20120310,2
56,20120311,2
56,20120312,2
56,20120315,2
56,20120316,2
56,20120317,2
56,20120318,2
56,20120319,2
56,20120320,2
56,20120321,2
56,20120322,2
56,20120323,2
56,20120324,2
56,20120325,2
56,20120326,2
56,20120327,2
56,20120328,2
56,20120329,2
56,20120330,2
57,20120102,2
57,20120103,2
57,20120104,1
57,20120105,1
57,20120106,2
57,20120107,2
57,20120108,2
57,20120109,2
57,20120110,2
57,20120111,1
57,20120112,1
57,20120113,2
57,20120114,2
57,20120115,2
57,20120116,2
57,20120117,2
57,20120118,1
57,20120119,1
57,20120120,2
57,20120121,2
57,20120122,2
57,20120123,2
57,20120124,2
57,20120125,1
57,20120126,1
57,20120127,2
57,20120128,2
57,20120129,2
57,20120130,2
57,20120131,2
57,20120201,1
57,20120202,1
57,20120203,2
57,20120204,2
57,20120205,2
57,20120206,2
57,20120207,2
57,20120208,1
57,20120209,1
57,20120210,2
57,20120211,2
57,20120212,2
57,20120213,2
57,20120214,2
57,20120215,1
57,20120216,1
57,20120217,2
57,20120218,2
57,20120219,2
57,20120220,2
57,20120221,2
57,20120222,2
57,20120223,2
57,20120224,2
57,20120225,2
57,20120226,2
57,20120227,2
57,20120228,2
57,20120229,1
57,20120301,1
57,20120302,2
57,20120303,2
57,20120304,2
57,20120305,2
57,20120306,2
57,20120307,1
57,20120308,1
57,20120309,2
57,20120310,2
57,20120311,2
57,20120312,2
57,20120313,2
57,20120314,1
57,20120315,1
57,20120316,2
57,20120317,2
57,20120318,2
57,20120319,2
57,20120320,2
57,20120321,1
57,20120322,1
57,20120323,2
57,20120324,2
57,20120325,2
57,20120326,2
57,20120327,2
57,20120328,1
57,20120329,1
57,20120330,2
56,20120313,2
56,20120314,2
31,20120106,1
31,20120107,2
31,20120108,2
31,20120109,1
31,20120110,1
31,20120111,1
31,20120112,1
31,20120113,1
31,20120114,2
31,20120115,2
31,20120116,1
31,20120117,1
31,20120118,1
31,20120119,1
31,20120120,1
31,20120121,2
31,20120122,2
31,20120123,1
31,20120124,1
31,20120125,1
31,20120126,1
31,20120127,1
31,20120128,2
31,20120129,2
31,20120130,1
31,20120131,1
31,20120201,1
31,20120202,1
31,20120203,1
31,20120204,2
31,20120205,2
31,20120206,1
31,20120207,1
31,20120208,1
31,20120209,1
31,20120210,1
31,20120211,2
31,20120212,2
31,20120213,1
31,20120214,1
31,20120215,1
31,20120216,1
31,20120217,1
31,20120218,2
31,20120219,2
31,20120220,2
31,20120221,2
31,20120222,2
31,20120223,2
31,20120224,2
31,20120225,2
31,20120226,2
31,20120227,1
31,20120228,1
31,20120229,1
31,20120301,1
31,20120302,1
31,20120303,2
31,20120304,2
31,20120305,1
31,20120306,1
31,20120307,1
31,20120308,1
31,20120309,1
31,20120310,2
31,20120311,2
31,20120312,1
31,20120313,1
31,20120314,1
31,20120315,1
31,20120316,1
31,20120317,2
31,20120318,2
31,20120319,1
31,20120320,1
31,20120321,1
31,20120322,1
31,20120323,1
31,20120324,2
31,20120325,2
31,20120326,1
31,20120327,1
31,20120328,1
31,20120329,1
31,20120330,1
32,20120102,1
32,20120103,1
32,20120104,1
32,20120105,1
32,20120106,1
32,20120107,2
32,20120108,2
32,20120109,1
32,20120110,1
32,20120111,1
32,20120112,1
32,20120113,1
32,20120114,2
32,20120115,2
32,20120116,1
32,20120117,1
32,20120118,1
32,20120119,1
32,20120120,1
32,20120121,2
32,20120122,2
32,20120123,1
32,20120124,1
32,20120125,1
32,20120126,1
32,20120127,1
32,20120128,2
32,20120129,2
32,20120130,1
32,20120131,1
32,20120201,1
32,20120202,1
32,20120203,1
32,20120204,2
32,20120205,2
32,20120206,1
32,20120207,1
32,20120208,1
32,20120209,1
32,20120210,1
32,20120211,2
32,20120212,2
32,20120213,1
32,20120214,1
32,20120215,1
32,20120216,1
32,20120217,1
32,20120218,2
32,20120219,2
32,20120220,2
32,20120221,2
32,20120222,2
32,20120223,2
32,20120224,2
32,20120225,2
32,20120226,2
32,20120227,1
32,20120228,1
32,20120229,1
32,20120301,1
32,20120302,1
32,20120303,2
32,20120304,2
32,20120305,1
32,20120306,1
32,20120307,1
32,20120308,1
32,20120309,1
32,20120310,2
32,20120311,2
32,20120312,1
32,20120313,1
32,20120314,1
32,20120315,1
32,20120316,1
32,20120317,2
32,20120318,2
32,20120319,1
32,20120320,1
32,20120321,1
32,20120322,1
32,20120323,1
32,20120324,2
32,20120325,2
32,20120326,1
32,20120327,1
32,20120328,1
32,20120329,1
32,20120330,1
33,20120102,1
33,20120103,1
33,20120104,1
33,20120105,1
33,20120106,1
33,20120107,2
33,20120108,2
33,20120109,1
33,20120110,1
33,20120111,1
33,20120112,1
33,20120113,1
33,20120114,2
33,20120115,2
33,20120116,1
33,20120117,1
33,20120118,1
33,20120119,1
33,20120120,1
33,20120121,2
33,20120122,2
33,20120123,1
33,20120124,1
33,20120125,1
33,20120126,1
33,20120127,1
33,20120128,2
33,20120129,2
33,20120130,1
33,20120131,1
33,20120201,1
33,20120202,1
33,20120203,1
33,20120204,2
33,20120205,2
33,20120206,1
33,20120207,1
33,20120208,1
33,20120209,1
33,20120210,1
33,20120211,2
33,20120212,2
33,20120213,1
33,20120214,1
33,20120215,1
33,20120216,1
33,20120217,1
33,20120218,2
33,20120219,2
33,20120220,2
33,20120221,2
33,20120222,2
33,20120223,2
33,20120224,2
33,20120225,2
33,20120226,2
33,20120227,1
33,20120228,1
33,20120229,1
33,20120301,1
33,20120302,1
33,20120303,2
33,20120304,2
33,20120305,1
33,20120306,1
33,20120307,1
33,20120308,1
33,20120309,1
33,20120310,2
33,20120311,2
33,20120312,1
33,20120313,1
33,20120314,1
33,20120315,1
33,20120316,1
33,20120317,2
33,20120318,2
33,20120319,1
33,20120320,1
33,20120321,1
33,20120322,1
33,20120323,1
33,20120324,2
33,20120325,2
33,20120326,1
33,20120327,1
33,20120328,1
33,20120329,1
33,20120330,1
34,20120102,2
34,20120103,1
34,20120104,2
34,20120105,1
34,20120106,1
34,20120107,2
34,20120108,2
34,20120109,2
34,20120110,1
34,20120111,2
34,20120112,1
34,20120113,1
34,20120114,2
34,20120115,2
34,20120116,2
34,20120117,1
34,20120118,2
34,20120119,1
34,20120120,1
34,20120121,2
34,20120122,2
34,20120123,2
34,20120124,1
34,20120125,2
34,20120126,1
34,20120127,1
34,20120128,2
34,20120129,2
34,20120130,2
34,20120131,1
34,20120201,2
34,20120202,1
34,20120203,1
34,20120204,2
34,20120205,2
34,20120206,2
34,20120207,1
34,20120208,2
34,20120209,1
34,20120210,1
34,20120211,2
34,20120212,2
34,20120213,2
34,20120214,1
34,20120215,2
34,20120216,1
34,20120217,1
34,20120218,2
34,20120219,2
34,20120220,2
34,20120221,2
34,20120222,2
34,20120223,2
34,20120224,2
34,20120225,2
34,20120226,2
34,20120227,2
34,20120228,1
34,20120229,2
34,20120301,1
34,20120302,1
34,20120303,2
34,20120304,2
34,20120305,2
34,20120306,1
34,20120307,2
34,20120308,1
34,20120309,1
34,20120310,2
34,20120311,2
34,20120312,2
34,20120313,1
34,20120314,2
34,20120315,1
34,20120316,1
34,20120317,2
34,20120318,2
34,20120319,2
34,20120320,1
34,20120321,2
34,20120322,1
34,20120323,1
34,20120324,2
34,20120325,2
34,20120326,2
34,20120327,1
34,20120328,2
34,20120329,1
34,20120330,1
35,20120102,1
35,20120103,2
35,20120104,1
35,20120105,2
35,20120106,1
35,20120107,2
35,20120108,2
35,20120109,1
35,20120110,2
35,20120111,1
35,20120112,2
35,20120113,1
35,20120114,2
35,20120115,2
35,20120116,1
35,20120117,2
35,20120118,1
35,20120119,2
35,20120120,1
35,20120121,2
35,20120122,2
35,20120123,1
35,20120124,2
35,20120125,1
35,20120126,2
35,20120127,1
35,20120128,2
35,20120129,2
35,20120130,1
35,20120131,2
35,20120201,1
35,20120202,2
35,20120203,1
35,20120204,2
35,20120205,2
35,20120206,1
35,20120207,2
35,20120208,1
35,20120209,2
35,20120210,1
35,20120211,2
35,20120212,2
35,20120213,1
35,20120214,2
35,20120215,1
35,20120216,2
35,20120217,1
35,20120218,2
35,20120219,2
35,20120220,2
35,20120221,2
35,20120222,2
35,20120223,2
35,20120224,2
35,20120225,2
35,20120226,2
35,20120227,1
35,20120228,2
35,20120229,1
35,20120301,2
35,20120302,1
35,20120303,2
35,20120304,2
35,20120305,1
35,20120306,2
35,20120307,1
35,20120308,2
35,20120309,1
35,20120310,2
35,20120311,2
35,20120312,1
35,20120313,2
35,20120314,1
35,20120315,2
35,20120316,1
35,20120317,2
35,20120318,2
35,20120319,1
35,20120320,2
35,20120321,1
35,20120322,2
35,20120323,1
35,20120324,2
35,20120325,2
35,20120326,1
35,20120327,2
35,20120328,1
35,20120329,2
35,20120330,1
36,20120102,1
36,20120103,1
36,20120104,2
36,20120105,1
36,20120106,2
36,20120107,2
36,20120108,2
36,20120109,1
36,20120110,1
36,20120111,2
36,20120112,1
36,20120113,2
36,20120114,2
36,20120115,2
36,20120116,1
36,20120117,1
36,20120118,2
36,20120119,1
36,20120120,2
36,20120121,2
36,20120122,2
36,20120123,1
36,20120124,1
36,20120125,2
36,20120126,1
36,20120127,2
36,20120128,2
36,20120129,2
36,20120130,1
36,20120131,1
36,20120201,2
36,20120202,1
36,20120203,2
36,20120204,2
36,20120205,2
36,20120206,1
36,20120207,1
36,20120208,2
36,20120209,1
36,20120210,2
36,20120211,2
36,20120212,2
36,20120213,1
36,20120214,1
36,20120215,2
36,20120216,1
36,20120217,2
36,20120218,2
36,20120219,2
36,20120220,2
36,20120221,2
36,20120222,2
36,20120223,2
36,20120224,2
36,20120225,2
36,20120226,2
36,20120227,1
36,20120228,1
36,20120229,2
36,20120301,1
36,20120302,2
36,20120303,2
36,20120304,2
36,20120305,1
36,20120306,1
36,20120307,2
36,20120308,1
36,20120309,2
36,20120310,2
36,20120311,2
36,20120312,1
36,20120313,1
36,20120314,2
36,20120315,1
36,20120316,2
36,20120317,2
36,20120318,2
36,20120319,1
36,20120320,1
36,20120321,2
36,20120322,1
36,20120323,2
36,20120324,2
36,20120325,2
36,20120326,1
36,20120327,1
36,20120328,2
36,20120329,1
36,20120330,2
37,20120102,2
37,20120103,2
37,20120104,1
37,20120105,1
37,20120106,1
37,20120107,2
37,20120108,2
37,20120109,2
37,20120110,2
37,20120111,1
37,20120112,1
37,20120113,1
37,20120114,2
37,20120115,2
37,20120116,2
37,20120117,2
37,20120118,1
37,20120119,1
37,20120120,1
37,20120121,2
37,20120122,2
37,20120123,2
37,20120124,2
37,20120125,1
37,20120126,1
37,20120127,1
37,20120128,2
37,20120129,2
37,20120130,2
37,20120131,2
37,20120201,1
37,20120202,1
37,20120203,1
37,20120204,2
37,20120205,2
37,20120206,2
37,20120207,2
37,20120208,1
37,20120209,1
37,20120210,1
37,20120211,2
37,20120212,2
37,20120213,2
37,20120214,2
37,20120215,1
37,20120216,1
37,20120217,1
37,20120218,2
37,20120219,2
37,20120220,2
37,20120221,2
37,20120222,2
37,20120223,2
37,20120224,2
37,20120225,2
37,20120226,2
37,20120227,2
37,20120228,2
37,20120229,1
37,20120301,1
37,20120302,1
37,20120303,2
37,20120304,2
37,20120305,2
37,20120306,2
37,20120307,1
37,20120308,1
37,20120309,1
37,20120310,2
37,20120311,2
37,20120312,2
37,20120313,2
37,20120314,1
37,20120315,1
37,20120316,1
37,20120317,2
37,20120318,2
37,20120319,2
37,20120320,2
37,20120321,1
37,20120322,1
37,20120323,1
37,20120324,2
37,20120325,2
37,20120326,2
37,20120327,2
37,20120328,1
37,20120329,1
37,20120330,1
38,20120102,1
38,20120103,2
38,20120104,1
38,20120105,1
38,20120106,1
38,20120107,2
38,20120108,2
38,20120109,1
38,20120110,2
38,20120111,1
38,20120112,1
38,20120113,1
38,20120114,2
38,20120115,2
38,20120116,1
38,20120117,2
38,20120118,1
38,20120119,1
38,20120120,1
38,20120121,2
38,20120122,2
38,20120123,1
38,20120124,2
38,20120125,1
38,20120126,1
38,20120127,1
38,20120128,2
38,20120129,2
38,20120130,1
38,20120131,2
38,20120201,1
38,20120202,1
38,20120203,1
38,20120204,2
38,20120205,2
38,20120206,1
38,20120207,2
38,20120208,1
38,20120209,1
38,20120210,1
38,20120211,2
38,20120212,2
38,20120213,1
38,20120214,2
38,20120215,1
38,20120216,1
38,20120217,1
38,20120218,2
38,20120219,2
38,20120220,2
38,20120221,2
38,20120222,2
38,20120223,2
38,20120224,2
38,20120225,2
38,20120226,2
38,20120227,1
38,20120228,2
38,20120229,1
38,20120301,1
38,20120302,1
38,20120303,2
38,20120304,2
38,20120305,1
38,20120306,2
38,20120307,1
38,20120308,1
38,20120309,1
38,20120310,2
38,20120311,2
38,20120312,1
38,20120313,2
38,20120314,1
38,20120315,1
38,20120316,1
38,20120317,2
38,20120318,2
38,20120319,1
38,20120320,2
38,20120321,1
38,20120322,1
38,20120323,1
38,20120324,2
38,20120325,2
38,20120326,1
38,20120327,2
38,20120328,1
38,20120329,1
38,20120330,1
39,20120102,1
39,20120103,1
39,20120104,2
39,20120105,1
39,20120106,2
39,20120107,2
39,20120108,2
39,20120109,1
39,20120110,1
39,20120111,2
39,20120112,1
39,20120113,2
39,20120114,2
39,20120115,2
39,20120116,1
39,20120117,1
39,20120118,2
39,20120119,1
39,20120120,2
39,20120121,2
39,20120122,2
39,20120123,1
39,20120124,1
39,20120125,2
39,20120126,1
39,20120127,2
39,20120128,2
39,20120129,2
39,20120130,1
39,20120131,1
39,20120201,2
39,20120202,1
39,20120203,2
39,20120204,2
39,20120205,2
39,20120206,1
39,20120207,1
39,20120208,2
39,20120209,1
39,20120210,2
39,20120211,2
39,20120212,2
39,20120213,1
39,20120214,1
39,20120215,2
39,20120216,1
39,20120217,2
39,20120218,2
39,20120219,2
39,20120220,2
39,20120221,2
39,20120222,2
39,20120223,2
39,20120224,2
39,20120225,2
39,20120226,2
39,20120227,1
39,20120228,1
39,20120229,2
39,20120301,1
39,20120302,2
39,20120303,2
39,20120304,2
39,20120305,1
39,20120306,1
39,20120307,2
39,20120308,1
39,20120309,2
39,20120310,2
39,20120311,2
39,20120312,1
39,20120313,1
39,20120314,2
39,20120315,1
39,20120316,2
39,20120317,2
39,20120318,2
39,20120319,1
39,20120320,1
39,20120321,2
39,20120322,1
39,20120323,2
39,20120324,2
39,20120325,2
39,20120326,1
39,20120327,1
39,20120328,2
39,20120329,1
39,20120330,2
40,20120102,1
40,20120103,2
40,20120104,2
40,20120105,2
40,20120106,1
40,20120107,2
40,20120108,2
40,20120109,1
40,20120110,2
40,20120111,2
40,20120112,2
40,20120113,1
40,20120114,2
40,20120115,2
40,20120116,1
40,20120117,2
40,20120118,2
40,20120119,2
40,20120120,1
40,20120121,2
40,20120122,2
40,20120123,1
40,20120124,2
40,20120125,2
40,20120126,2
40,20120127,1
