stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_url
11031088,Jægerveien,11031088,58.894581,5.722826,http://gt.rkt.no/H11031088
11031089,Jægerveien,11031089,58.894733,5.722609,http://gt.rkt.no/H11031089
11031090,Binnekroken,11031090,58.895825,5.725138,http://gt.rkt.no/H11031090
11031091,Ulsbergbakken,11031091,58.896688,5.726041,http://gt.rkt.no/H11031091
11031092,Ulsbergbakken,11031092,58.896635,5.727613,http://gt.rkt.no/H11031092
11031093,Storaberget,11031093,58.897043,5.721083,http://gt.rkt.no/H11031093
11031094,Heddestien,11031094,58.898033,5.720090,http://gt.rkt.no/H11031094
11031095,Ofolskroken,11031095,58.900906,5.720948,http://gt.rkt.no/H11031095
11031096,Ofolskroken,11031096,58.900265,5.721426,http://gt.rkt.no/H11031096
11031097,Kistebergheia,11031097,58.901446,5.720176,http://gt.rkt.no/H11031097
11031098,Kisteberglia,11031098,58.903115,5.719370,http://gt.rkt.no/H11031098
11031099,Mariahaugen,11031099,58.903865,5.719673,http://gt.rkt.no/H11031099
11031102,Mariabakken,11031102,58.903345,5.718463,http://gt.rkt.no/H11031102
11031103,Mariamarka,11031103,58.903430,5.715228,http://gt.rkt.no/H11031103
11031104,Mariamarka,11031104,58.903443,5.713130,http://gt.rkt.no/H11031104
11031109,Godesetdalen,11031109,58.898794,5.710418,http://gt.rkt.no/H11031109
11031111,Slettmyra,11031111,58.903031,5.708676,http://gt.rkt.no/H11031111
11031112,Slettmyra,11031112,58.902981,5.708526,http://gt.rkt.no/H11031112
11031113,Godesetdalen,11031113,58.900470,5.708670,http://gt.rkt.no/H11031113
11031115,Godesetkroken,11031115,58.896921,5.711253,http://gt.rkt.no/H11031115
11031116,Godesetkroken,11031116,58.896290,5.711550,http://gt.rkt.no/H11031116
11031117,Godesetbakken,11031117,58.895576,5.713635,http://gt.rkt.no/H11031117
11031118,Godesetbakken,11031118,58.895390,5.715188,http://gt.rkt.no/H11031118
11031119,Svanholmen v/E39,11031119,58.894470,5.707775,http://gt.rkt.no/H11031119
11031120,Forus brannstasjon,11031120,58.894566,5.704376,http://gt.rkt.no/H11031120
11031121,Forus brannstasjon,11031121,58.894456,5.701005,http://gt.rkt.no/H11031121
11031122,Living,11031122,58.895340,5.702910,http://gt.rkt.no/H11031122
11031123,Living,11031123,58.895210,5.702580,http://gt.rkt.no/H11031123
11031124,Sønnico,11031124,58.898390,5.702650,http://gt.rkt.no/H11031124
11031125,Hitech,11031125,58.898366,5.702889,http://gt.rkt.no/H11031125
11031126,Kruse Smith,11031126,58.899969,5.702848,http://gt.rkt.no/H11031126
11031128,Lagerveien,11031128,58.900750,5.702300,http://gt.rkt.no/H11031128
11031142,Samslåtten,11031142,58.920815,5.703156,http://gt.rkt.no/H11031142
11031143,Samslåtten,11031143,58.920641,5.702516,http://gt.rkt.no/H11031143
11031144,Vardeberg,11031144,58.918055,5.695958,http://gt.rkt.no/H11031144
11031145,Valaberget,11031145,58.916233,5.690043,http://gt.rkt.no/H11031145
11031146,Valaberget,11031146,58.915935,5.689146,http://gt.rkt.no/H11031146
11031147,Svartholen,11031147,58.913658,5.683628,http://gt.rkt.no/H11031147
